id,nome,email,telefone,cep,data_nascimento,genero
1041,Quintino Marques,quintino.marques@exemplo.com,(11) 98877-5566,02011-000,1983-08-17,Masculino
1042,Rafaela Bastos,rafaela.bastos@exemplo.com,(21) 98765-3344,22210-030,1997-06-06,Feminino
1043,Samuel Guerra,samuel.guerra@exemplo.com.br,(31) 99876-6543,30180-100,1988-10-21,Masculino
1044,Tatiana Ramos,tatiana.ramos@exemplo.com,(71) 98888-5678,40411-000,1995-01-13,Feminino
1045,Ulisses Xavier,ulisses.xavier@exemplo.com.br,(51) 99999-1111,90510-001,1991-05-24,Masculino
1a046,Valentina Nobrega,valentina.nobrega@exemplo.com,(81) 98765-5432,52060-105,2004-02-09,Feminino
1047,Wagner Pires,wagner.pires@exemplo.com.br,(61) 99654-9876,70297-400,1982-07-14,Masculino
1048,Xenia Vasconcelos,xenia.vasconcelos@exemplo.com,(41) 99111-7777,80240-000,1998-11-03,Feminino
1049,Yuri Telles,yuri.telles@exemplo.com.br,(11) 98877-6677,02430-001,1996-08-01,Masculino
1050,Zilda Franco,zilda.franco@exemplo.com,(21) 98765-4455,22230-000,1980-03-18,Feminino
1051,Adriano Peixoto,adriano.peixoto@exemplo.com.br,(31) 99876-5432,30190-061,1992-09-15,Masculino
1052,Beatriz Aragao,beatriz.aragao@exemplo.com,(71) 98888-6789,41820-020,1999-06-21,Feminino
1053,Caio Bittencourt,caio.bittencourt@exemplo.com.br,(51) 99999-2222,90550-141,1986-12-28,Masculino
1054,Debora Neves,debora.neves@exemplo.com,(81) 98765-4321,50710-100,1994-04-05,Feminino
1055,Eduardo Lins,eduardo.lins@exemplo.com.br,(61) 99654-8765,70330-400,1989-01-30,Masculino
1056,Flavia Galvao,flavia.galvao@exemplo.com,(41) 99111-8888,80410-180,1997-05-12,Feminino
1057,Gustavo Pinheiro,gustavo.pinheiro@exemplo.com.br,(11) 98877-7788,01153-000,1991-02-07,Masculino
1058,Heloisa Macedo,heloisa.macedo@exemplo.com,(21) 98765-5566,22240-000,1998-07-19,Feminino
1059,Icaro Tavares,icaro.tavares@exemplo.com.br,(31) 99876-4321,30210-440,1984-11-06,Masculino
1060,Joana Queiroz,joana.queiroz@exemplo.com,(71) 98888-7890,41940-250,1990-08-23,Feminino
1061,Kevin Damasceno,kevin.damasceno@exemplo.com.br,(51) 99999-3333,90610-000,2001-10-25,Masculino
1062,Laura Santana,laura.santana@exemplo.com,(81) 98765-3210,50740-545,1996-04-14,Feminino
1063,Miguel Arraes,miguel.arraes@exemplo.com.br,(61) 99654-7654,70351-000,1993-01-01,Masculino
1064,Nicole Chaves,nicole.chaves@exemplo.com,(41) 99111-9999,80530-000,1987-09-09,Feminino
1065,Oscar Magalhaes,oscar.magalhaes@exemplo.com.br,(11) 98877-8899,01239-030,1981-06-16,Masculino
1066,Patricia Viana,patricia.viana@exemplo.com,(21) 98765-6677,22250-040,1995-11-23,Feminino
1067,Renato Jales,renato.jales@exemplo.com.br,(31) 99876-3210,30260-070,1999-07-02,Masculino
1068,Sara Leal,sara.leal@exemplo.com,(71) 98888-8901,41720-000,1992-03-12,Feminino
1069,Téo Caldas,teo.caldas@exemplo.com.br,(51) 99999-4444,90670-000,1988-08-31,Masculino
1070,Vanessa Justino,vanessa.justino@exemplo.com,(81) 98765-2109,51111-030,1994-05-08,Feminino
1071,William Zagallo,william.zagallo@exemplo.com.br,(61) 99654-6543,70377-000,1985-10-10,Masculino
1072,Yara Albuquerque,yara.albuquerque@exemplo.com,(41) 99111-0000,80730-000,1997-12-04,Feminino
1073,Abelardo Barbosa,abelardo.barbosa@exemplo.com,(11) 98877-9900,01310-100,1990-02-17,Masculino
1074,Brena Tavares,brena.tavares@exemplo.com,(21) 98765-7788,22270-000,1993-09-29,Feminino
1075,Cicero Dantas,cicero.dantas@exemplo.com.br,(81) 98765-1098,52061-510,1983-04-01,Masculino
